"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-BZ0245";"Biblioteca Archeoart";"Specializzata";"Gruppo archeologico. Sezione di Bolzano";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0246";"Biblioteca Sandro Amadori";"Pubblica";"Circolo culturale Don Bosco";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0247";"Biblioteca della Donna - Frauenzentrum";"Specializzata";"Centro di documentazione ed informazione della donna - Frauenzentrum";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0248";"Biblioteca S. Girolamo - Bibliothek St. Hieronymus";"Specializzata";"Diocesi di Bolzano-Bressanone - Dizese Bozen-Brixen";"Enti ecclesiastici"
"IT-BZ0249";"Biblioteca Antonio Vivaldi";"Pubblica";"Centro culturale Antonio Vivaldi";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0250";"Biblioteca del Museo d'arte moderna - Museion Bibliothek";"Specializzata";"Museo di arte moderna - Museion";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0251";"Biblioteca pubblica - Stadtbibliothek";"Pubblica";"Comune di Chiusa - Gemeinde Klausen";"Comune"
"IT-BZ0252";"Biblioteca italiana - Italienische Bibliothek";"Pubblica";"Comune di Egna - Gemeinde Neumarkt";"Comune"
"IT-BZ0253";"Biblioteca Dante Alighieri";"Pubblica";"Comune di Ora - Auer (gestore Circolo culturale “Luigi Negrelli”)";"Comune"
"IT-BZ0254";"Biblioteca del Cinema-Cineforum";"Specializzata";"Associazione Cineforum Bolzano";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0255";"Museo Archivio e Biblioteca della Collegiata di San Candido - Museum Archiv und Bibliothek des Stifts Innichen";"Specializzata";"Diocesi di Bolzano-Bressanone - Dizese Bozen-Brixen";"Enti ecclesiastici"
"IT-BZ0256";"Biblioteca dell'Accademia Europea - Europäische Akademie Bibliothek";"Specializzata";"Accademia Europea. Bolzano. Europäische Akademie Bozen";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0257";"Centro Multilingue di Bolzano.Bozen";"Specializzata";"Provincia autonoma di Bolzano";"Provincia"
