"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-AG0001";"Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi";"Specializzata";"Regione siciliana. Soprintendenza per i beni culturali e ambientali";"Regione"
"IT-AG0005";"Biblioteca dell'Archivio di Stato di Agrigento";"Specializzata";"Ministero della Cultura. Archivio di Stato di Agrigento";"Direzione Generale Archivi"
"IT-AG0006";"Biblioteca del Seminario vescovile";"Specializzata";"Arcidiocesi di Agrigento";"Enti ecclesiastici"
"IT-AG0007";"Biblioteca Comunale Franco La Rocca";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0008";"Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0010";"Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro";"Pubblica";"Comune d'Aragona";"Comune - Istituzione comunale"
"IT-AG0011";"Biblioteca comunale";"Pubblica";"Comune di Bivona";"Comune"
"IT-AG0012";"Biblioteca comunale ""Guglielmo Raimondo Moncada""";"Pubblica";"Comune di Caltabellotta";"Comune"
"IT-AG0014";"Biblioteca Comunale Mons. Domenico De Gregorio";"Pubblica";"Comune di Cammarata";"Comune"
"IT-AG0016";"Biblioteca comunale 'Prof. Michele Sciabbarrasi'";"Pubblica";"Comune di Castrofilippo";"Comune"
"IT-AG0017";"Biblioteca comunale";"Pubblica";"Comune di Cattolica Eraclea";"Comune"
"IT-AG0018";"Biblioteca comunale ""Paolo Borsellino""";"Pubblica";"Comune di Cianciana";"Comune"
"IT-AG0019";"Biblioteca comunale";"Pubblica";"Comune di Comitini";"Comune"
"IT-AG0022";"Biblioteca Comunale Barone Antonio Mendola";"Pubblica";"Comune di Favara";"Comune"
"IT-AG0024";"Biblioteca comunale Martin Luther King";"Pubblica";"Comune di Grotte";"Comune"
"IT-AG0025";"Biblioteca comunale";"Pubblica";"Comune di Joppolo Giancaxio";"Comune"
"IT-AG0027";"Biblioteca Comunale Piersanti Mattarella";"Pubblica";"Comune di Lucca Sicula";"Comune"
"IT-AG0029";"Istituzione Culturale Federico II";"Pubblica";"Comune di Menfi";"Comune"
"IT-AG0030";"Biblioteca Comunale Antonio Gramsci";"Pubblica";"Comune di Montallegro";"Comune"
"IT-AG0031";"Biblioteca Comunale Feliciana";"Pubblica";"Comune di Naro";"Comune"
"IT-AG0033";"Biblioteca Comunale Giuseppe Tamburello";"Pubblica";"Comune di Realmonte";"Comune"
"IT-AG0034";"Biblioteca comunale Vincenzo Navarro";"Pubblica";"Comune di Sambuca di Sicilia";"Comune"
"IT-AG0036";"Biblioteca comunale";"Pubblica";"Comune di San Biagio Platani";"Comune"
"IT-AG0037";"Biblioteca Comunale";"Pubblica";"Comune di San Giovanni Gemini";"Comune"
"IT-AG0038";"Biblioteca comunale 'Domenico Iacono'";"Pubblica";"Comune di Sant'Angelo Muxaro";"Comune"
"IT-AG0039";"Biblioteca comunale 'Elsa Morante'";"Pubblica";"Comune di Santa Margherita di Belice";"Comune"
"IT-AG0040";"Biblioteca comunale G. Ansalone";"Pubblica";"Comune di Santo Stefano Quisquina";"Comune"
"IT-AG0042";"Biblioteca Comunale ""Aurelio Cassar""";"Pubblica";"Comune di Sciacca";"Comune"
"IT-AG0043";"Biblioteca comunale Giuseppe Antonio Musso";"Pubblica";"Comune di Villafranca Sicula";"Comune"
"IT-AG0044";"Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0045";"Biblioteca comunale - sezione di Villaseta";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0051";"Biblioteca Comunale Falcone - Borsellino";"Pubblica";"Comune di Alessandria della Rocca";"Comune"
"IT-AG0054";"Biblioteca comunale";"Pubblica";"Comune di Burgio";"Comune"
"IT-AG0055";"Biblioteca comunale";"Pubblica";"Comune di Calamonaci";"Comune"
"IT-AG0058";"Biblioteca comunale Centro Culturale San Domenico";"Pubblica";"Comune di Canicatti'";"Comune"
"IT-AG0060";"Biblioteca Comunale Francesco Lo Bue";"Pubblica";"Comune di Casteltermini";"Comune"
"IT-AG0062";"Biblioteca IBBY Lampedusa";"Pubblica";"Comune di Lampedusa e Linosa";"Comune"
"IT-AG0064";"Biblioteca comunale ""Salvatore Ruvolo""";"Pubblica";"Comune di Montevago";"Comune"
"IT-AG0065";"Biblioteca Comunale Giovanni Falcone";"Pubblica";"Comune di Palma di Montechiaro";"Comune"
"IT-AG0066";"Biblioteca comunale";"Pubblica";"Comune di Porto Empedocle";"Comune"
"IT-AG0067";"Biblioteca comunale";"Pubblica";"Comune di Racalmuto";"Comune"
"IT-AG0068";"Biblioteca popolare Virtus Matrice";"Pubblica";"Chiesa Madre di Racalmuto";"Enti ecclesiastici"
"IT-AG0069";"Biblioteca comunale";"Pubblica";"Comune di Raffadali";"Comune"
"IT-AG0070";"Biblioteca comunale ""Giuseppe Zagarrio""";"Pubblica";"Comune di Ravanusa";"Comune"
"IT-AG0071";"Biblioteca comunale Antonio Gramsci";"Pubblica";"Comune di Ribera";"Comune"
"IT-AG0072";"Biblioteca comunale di Santa Elisabetta";"Pubblica";"Comune di Santa Elisabetta";"Comune"
"IT-AG0075";"Biblioteca comunale";"Pubblica";"Comune di Siculiana";"Comune"
"IT-AG0078";"Biblioteca della Provincia regionale di Agrigento Gaspare Ambrosini";"Pubblica";"Provincia di Agrigento";"Provincia"
"IT-AG0079";"Biblioteca comunale - sezione di Fontanelle";"Pubblica";"Comune di Agrigento";"Comune"
"IT-AG0085";"Biblioteca Lucchesiana";"Di conservazione";"Deputazione dei canonici della biblioteca Lucchesiana";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AG0089";"Biblioteca comunale L. Vitali";"Pubblica";"Comune di Licata";"Comune"
"IT-AG0090";"Biblioteca comunale";"Pubblica";"Comune di Campobello di Licata";"Comune"
"IT-AG0091";"Biblioteca Museo Luigi Pirandello";"Pubblica";"Regione siciliana";"Regione"
"IT-AG0093";"Biblioteca della Fondazione Leonardo Sciascia";"Specializzata";"Fondazione Leonardo Sciascia";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AG0095";"Biblioteca dell'Istituto Comprensivo Anna Frank";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AG0096";"Biblioteca del Circolo didattico S.G. Bosco";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AG0097";"Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AG0098";"Biblioteca Comunale";"Pubblica";"Comune di Camastra";"Comune"
"IT-AG0099";"Biblioteca della Fondazione Giovanni Guarino Amella";"Specializzata";"Fondazione Giovanni Guarino Amella";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AG0134";"Biblioteca del Polo territoriale universitario di Agrigento. Università degli studi di Palermo";"Istituto di insegnamento superiore";"Università degli studi di Palermo";"Universita' statali"
"IT-AG0135";"Biblioteca scolastica ""Onofrio Lo Dico""";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo Classico Empedocle";"Presidenza del consiglio dei ministri e ministeri"
"IT-AG0136";"Bibliofonoteca “Ettore Gaiezza” del Conservatorio ""Arturo Toscanini""";"Istituto di insegnamento superiore";"Libero Consorzio dei Comuni di Agrigento - Il Conservatorio Statale di Musica “Arturo Toscanini”";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-AL0001";"Biblioteca civica di Acqui Terme";"Pubblica";"Comune di Acqui Terme";"Comune"
"IT-AL0002";"Biblioteca civica Francesca Calvo";"Pubblica";"Comune di Alessandria";"Comune"
"IT-AL0003";"Biblioteca dell'Archivio di Stato di Alessandria";"Specializzata";"Ministero della Cultura. Archivio di Stato di Alessandria";"Direzione Generale Archivi"
"IT-AL0004";"Biblioteca diocesana del Seminario vescovile";"Di conservazione";"Diocesi di Alessandria";"Enti ecclesiastici"
"IT-AL0006";"Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti";"Specializzata";"Societa' di storia, arte e archeologia per le province di Alessandria e Asti";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AL0007";"Biblioteca della Camera di Commercio di Alessandria-Asti, Sede Centrale Alessandria";"Specializzata";"Camera di commercio, industria, artigianato e agricoltura - CCIAA di Alessandria";"Camere di commercio, industria, artigianato"
"IT-AL0008";"Biblioteca civica";"Pubblica";"Comune di Alfiano Natta";"Comune"
"IT-AL0009";"Biblioteca civica";"Pubblica";"Comune di Alice Bel Colle";"Comune"
"IT-AL0011";"Biblioteca civica ""Gaetano Poggi""";"Pubblica";"Comune di Arquata Scrivia";"Comune"
"IT-AL0014";"Biblioteca civica";"Pubblica";"Comune di Bistagno";"Comune"
"IT-AL0015";"Biblioteca civica";"Pubblica";"Comune di Borghetto di Borbera";"Comune"
"IT-AL0016";"Biblioteca civica Pio e Ildegarda Occella";"Pubblica";"Comune di Bosco Marengo";"Comune"
"IT-AL0017";"Biblioteca civica ""Giancarlo Merlo""";"Pubblica";"Comune di Bosio";"Comune"
"IT-AL0020";"Biblioteca G. Ferraro";"Pubblica";"Comune di Carpeneto";"Comune"
"IT-AL0021";"Biblioteca civica Barco Fedele";"Pubblica";"Comune di Casal Cermelli";"Comune"
"IT-AL0024";"Biblioteca del Seminario vescovile";"Di conservazione";"Fondazione ""Biblioteca del Seminario""";"Enti ecclesiastici"
"IT-AL0026";"Biblioteca civica";"Pubblica";"Comune di Cassano Spinola";"Comune"
"IT-AL0027";"Biblioteca civica ""Ettore Amerio""";"Pubblica";"Comune di Cassine";"Comune"
"IT-AL0030";"Biblioteca civica Francesco Poggio";"Pubblica";"Comune di Castellazzo Bormida";"Comune"
"IT-AL0031";"BIBLIOTECA CIVICA COMUNALE";"Pubblica";"Comune di Castelletto d'Orba";"Comune"
"IT-AL0033";"Biblioteca comunale Pier Angelo Soldini";"Pubblica";"Comune di Castelnuovo Scrivia";"Comune"
"IT-AL0034";"Biblioteca civica";"Pubblica";"Comune di Castelspina";"Comune"
"IT-AL0036";"Biblioteca civica";"Pubblica";"Comune di Cella Monte";"Comune"
"IT-AL0037";"Biblioteca civica";"Pubblica";"Comune di Cereseto";"Comune"
"IT-AL0038";"Biblioteca civica";"Pubblica";"Comune di Conzano";"Comune"
"IT-AL0040";"Biblioteca civica";"Pubblica";"Comune di Frugarolo";"Comune"
"IT-AL0041";"Biblioteca civica";"Pubblica";"Comune di Fubine";"Comune"
"IT-AL0046";"Biblioteca civica Giuseppe Boffito";"Pubblica";"Comune di Gavi";"Comune"
"IT-AL0047";"Biblioteca comunale";"Pubblica";"Comune di Giarole";"Comune"
"IT-AL0048";"Biblioteca civica";"Pubblica";"Comune di Mirabello Monferrato";"Comune"
"IT-AL0050";"Biblioteca civica";"Pubblica";"Comune di Molare";"Comune"
"IT-AL0054";"Biblioteca civica";"Pubblica";"Comune di Montechiaro d'Acqui";"Comune"
"IT-AL0056";"Biblioteca civica Rosanna Benzi";"Pubblica";"Comune di Morbello";"Comune"
"IT-AL0058";"Biblioteca civica";"Pubblica";"Comune di Morsasco";"Comune"
"IT-AL0060";"Biblioteca civica";"Pubblica";"Comune di Novi Ligure";"Comune"
"IT-AL0062";"Biblioteca Civica ""Maestro Angelo Debernardis""";"Pubblica";"Comune di Occimiano";"Comune"
"IT-AL0063";"Biblioteca civica";"Pubblica";"Comune di Odalengo Grande";"Comune"
"IT-AL0067";"Biblioteca comunale 'Alessandra Fracchia'";"Pubblica";"Comune di Ozzano Monferrato";"Comune"
"IT-AL0070";"Biblioteca civica Federico Ragni";"Pubblica";"Comune di Piovera";"Comune"
"IT-AL0071";"Biblioteca civica Sandro Castelli";"Pubblica";"Comune di Pontecurone";"Comune"
"IT-AL0072";"Biblioteca civica";"Pubblica";"Comune di Pontestura";"Comune"
"IT-AL0073";"Biblioteca civica Tommaso e Angiolina Battaglia";"Pubblica";"Comune di Ponzone";"Comune"
"IT-AL0074";"Biblioteca antica del Castello";"Specializzata";"Comune di Pozzolo Formigaro";"Comune"
"IT-AL0075";"Biblioteca civica Caterina De Marco";"Pubblica";"Comune di Pozzolo Formigaro";"Comune"
"IT-AL0077";"Biblioteca civica Marco Morielli";"Pubblica";"Comune di Prasco";"Comune"
"IT-AL0078";"Biblioteca civica ""A. Pesce""";"Pubblica";"Comune di Predosa";"Comune"
"IT-AL0080";"Biblioteca civica";"Pubblica";"Comune di Rivalta Bormida";"Comune"
"IT-AL0082";"Biblioteca civica";"Pubblica";"Comune di Rocca Grimalda";"Comune"
"IT-AL0084";"Biblioteca 'Claudio Castelli'";"Pubblica";"Comune di Sala Monferrato";"Comune"
"IT-AL0085";"Biblioteca civica Alessandro Molinari";"Pubblica";"Comune di Sale";"Comune"
"IT-AL0086";"Biblioteca civica di San Giorgio Monferrato";"Pubblica";"Comune di San Giorgio Monferrato";"Comune"
"IT-AL0087";"Biblioteca comunale ""Domenico Fava""";"Pubblica";"Comune di San Salvatore Monferrato";"Comune"
"IT-AL0089";"Biblioteca civica";"Pubblica";"Comune di Serravalle Scrivia";"Comune"
"IT-AL0090";"Biblioteca civica";"Pubblica";"Comune di Sezzadio";"Comune"
"IT-AL0091";"Biblioteca di Solero";"Pubblica";"Comune di Solero";"Comune"
"IT-AL0093";"Biblioteca civica";"Pubblica";"Comune di Spigno Monferrato";"Comune"
"IT-AL0094";"Biblioteca civica";"Pubblica";"Comune di Stazzano";"Comune"
"IT-AL0095";"Biblioteca civica";"Pubblica";"Comune di Strevi";"Comune"
"IT-AL0099";"Biblioteca civica";"Pubblica";"Comune di Ticineto";"Comune"
"IT-AL0100";"Biblioteca civica ""Tommaso de Ocheda""";"Pubblica";"Comune di Tortona";"Comune"
"IT-AL0101";"Biblioteca diocesana del Seminario Vescovile di Tortona";"Di conservazione";"Seminario Diocesano di Tortona";"Enti ecclesiastici"
"IT-AL0102";"Biblioteca comunale G. Spina";"Pubblica";"Comune di Treville";"Comune"
"IT-AL0104";"Biblioteca - Centro comunale di Cultura";"Pubblica";"Comune di Valenza";"Comune"
"IT-AL0105";"Biblioteca civica";"Pubblica";"Comune di Valmacca";"Comune"
"IT-AL0106";"Biblioteca civica";"Pubblica";"Comune di Vignole Borbera";"Comune"
"IT-AL0108";"Biblioteca civica ""Giuseppe Demichelis""";"Pubblica";"Comune di Villanova Monferrato";"Comune"
"IT-AL0110";"Biblioteca civica";"Pubblica";"Comune di Basaluzzo";"Comune"
"IT-AL0112";"Biblioteca civica ""Scarsi Cesarina""";"Pubblica";"Comune di Cabella Ligure";"Comune"
"IT-AL0114";"Biblioteca civica Giovanni Canna";"Pubblica";"Comune di Casale Monferrato";"Comune"
"IT-AL0118";"Biblioteca civica";"Pubblica";"Comune di Castelletto Merli";"Comune"
"IT-AL0119";"Biblioteca civica";"Pubblica";"Comune di Cerrina";"Comune"
"IT-AL0120";"Biblioteca civica Elena Cavallero";"Pubblica";"Comune di Felizzano";"Comune"
"IT-AL0122";"Biblioteca civica";"Pubblica";"Comune di Fresonara";"Comune"
"IT-AL0123";"Biblioteca civica Coniugi Marie ed Eraldo Ighina";"Pubblica";"Comune di Ovada";"Comune"
"IT-AL0124";"Biblioteca civica Don Cesare Moretti";"Pubblica";"Comune di Pietra Marazzi";"Comune"
"IT-AL0127";"Biblioteca civica di Vignale Monferrato";"Pubblica";"Comune di Vignale Monferrato";"Comune"
"IT-AL0128";"Biblioteca civica di Viguzzolo";"Pubblica";"Comune di Viguzzolo";"Comune"
"IT-AL0130";"Biblioteca del Seminario vescovile monsignor C. G. Capra";"Specializzata";"Seminario vescovile";"Enti ecclesiastici"
"IT-AL0134";"Biblioteca Carlo Mosso del Conservatorio statale di musica Antonio Vivaldi";"Specializzata";"Ministero dell'istruzione, dell'università e della ricerca. Conservatorio statale di musica Antonio Vivaldi di Alessandria";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0135";"Biblioteca dell'Istituto per la storia della Resistenza e della società contemporanea in provincia di Alessandria - ISRAL 'Carlo Gilardenghi'";"Specializzata";"Istituto per la storia della Resistenza e della società contemporanea in provincia di Alessandria";"Consorzio e/o associazioni di regioni, province, comuni e comunità montane"
"IT-AL0143";"Biblioteca dell'Archivio vescovile";"Specializzata";"Curia vescovile di Acqui Terme";"Enti ecclesiastici"
"IT-AL0144";"Biblioteca e archivio storico della Cassa di risparmio di Alessandria";"Specializzata";"Cassa di risparmio di Alessandria";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0145";"Biblioteca e centro di documentazione del Gruppo volontariato assistenza handicappati";"Specializzata";"Gruppo volontariato assistenza handicappati - GVA";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0147";"Biblioteca diocesana";"Di conservazione";"Fondazione ""Biblioteca del Seminario""";"Enti ecclesiastici"
"IT-AL0149";"Biblioteca del Parco naturale e area attrezzata del Sacro Monte di Crea";"Specializzata";"Parco naturale e area attrezzata del Sacro Monte di Crea";"Regione"
"IT-AL0151";"Biblioteca civica";"Pubblica";"Comune di Alluvioni Cambio'";"Comune"
"IT-AL0152";"Biblioteca dell'Accademia urbense di Ovada - Archivio Alto Monferrato";"Di conservazione";"Accademia urbense di Ovada";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0153";"Biblioteca del Dipartimento di Scienze e Innovazione tecnologica dell'Università degli Studi del Piemonte orientale A. Avogadro";"Istituto di insegnamento superiore";"Università degli studi del Piemonte Orientale Amedeo Avogadro";"Universita' statali"
"IT-AL0158";"Biblioteca dell'Ospedale civile Santi Antonio e Biagio";"Specializzata";"USSL 70 Alessandria";"Aziende ed enti del servizio sanitario nazionale"
"IT-AL0159";"Biblioteca civica ""Donatella Cabiati"" di Camagna Monferrato";"Pubblica";"Comune di Camagna";"Comune"
"IT-AL0161";"Biblioteca civica";"Pubblica";"Comune di Sardigliano";"Comune"
"IT-AL0162";"Biblioteca del Convento dei Padri Cappuccini";"Specializzata";"Frati Minori Cappuccini. Convento di Tortona";"Enti ecclesiastici"
"IT-AL0164";"Biblioteca Biomedica e Centro Documentazione";"Specializzata";"Azienda ospedaliera nazionale SS. Antonio e Biagio e Cesare Arrigo";"Aziende ed enti del servizio sanitario nazionale"
"IT-AL0165";"Biblioteca comunale Dott. G. D. Sancio";"Pubblica";"Comune di Balzola";"Comune"
"IT-AL0166";"Biblioteca civica";"Pubblica";"Comune di Terruggia";"Comune"
"IT-AL0168";"Biblioteca della Scuola media statale Leardi";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Scuola secondaria di primo grado ""Leardi""";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0169";"BIBLIOTECA CIVICA GIORGIO BORGHELLO";"Pubblica";"Comune di Albera Ligure";"Comune"
"IT-AL0170";"Biblioteca del tiro a segno nazionale";"Specializzata";"Tiro a Segno Nazionale di Alessandria";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AL0172";"Biblioteca civica ""Walter Perfumo""";"Pubblica";"Comune di Masio";"Comune"
"IT-AL0174";"Biblioteca civica";"Pubblica";"Comune di Silvano d'Orba";"Comune"
"IT-AL0175";"Biblioteca civica Margherita Musso";"Pubblica";"Comune di Visone";"Comune"
"IT-AL0177";"Biblioteca dell'Istituto statale d'arte B. Cellini";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0187";"Biblioteca civica";"Pubblica";"Comune di Frassinello Monferrato";"Comune"
"IT-AL0189";"Biblioteca civica ""L. Odone""";"Pubblica";"Comune di Gamalero";"Comune"
"IT-AL0193";"BIBLIOTECA COMUNALE ""EUGENIO ARECCO """;"Pubblica";"Comune di Pasturana";"Comune"
"IT-AL0194";"Biblioteca comunale Camillo Cappellaro";"Pubblica";"Comune di Rosignano Monferrato";"Comune"
"IT-AL0197";"Biblioteca comunale Nelson Mandela";"Pubblica";"Comune di Tagliolo Monferrato";"Comune"
"IT-AL0198";"Biblioteca civica";"Pubblica";"Comune di Tassarolo";"Comune"
"IT-AL0201";"Biblioteca dell'Associazione Pellizza da Volpedo-Musei di Pellizza";"Specializzata";"Comune di Volpedo";"Comune"
"IT-AL0203";"Biblioteca del Liceo classico Giuseppe Saracco";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0205";"Biblioteca civica";"Pubblica";"Comune di Castelletto d'Erro";"Comune"
"IT-AL0206";"Biblioteca del Liceo E. Amaldi";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo E. Amaldi";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0207";"Biblioteca civica Enrico Brizzolesi";"Pubblica";"Comune di Capriata d'Orba";"Comune"
"IT-AL0212";"Biblioteca dell'Istituto tecnico industriale statale Francesco Torre";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0213";"Centro di documentazione pedagogica Il filo di Arianna";"Specializzata";"Centro di documentazione pedagogica Il filo di Arianna";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0214";"Biblioteca civica";"Pubblica";"Comune di Francavilla Bisio";"Comune"
"IT-AL0215";"Biblioteca civica";"Pubblica";"Comune di San Cristoforo";"Comune"
"IT-AL0216";"Biblioteca Istituto Comprensivo 2 Novi Ligure";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Istituto Comprensivo 2 - Novi Ligure";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0218";"Biblioteca del Liceo Giuseppe Peano";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0221";"Biblioteca civica";"Pubblica";"Comune di Mombello Monferrato";"Comune"
"IT-AL0222";"Biblioteca comunale Gabriele Serrafero";"Pubblica";"Comune di Camino";"Comune"
"IT-AL0224";"Biblioteca civica Cesare Pavese";"Pubblica";"Comune di Serralunga di Crea";"Comune"
"IT-AL0225";"Biblioteca della Fondazione CR Tortona";"Specializzata";"Fondazione Cassa di Risparmio di Tortona";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0226";"Biblioteca civica";"Pubblica";"Comune di Lerma";"Comune"
"IT-AL0227";"Biblioteca dell'Istituto ITIS Giulio Ciampini";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Istituto di Istruzione Superiore Ciampini-Boccardo";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0229";"Biblioteca delle ragazze e dei ragazzi ""Emanuele Luzzati""";"Pubblica";"Comune di Casale Monferrato";"Comune"
"IT-AL0230";"Biblioteca del Centro documentazione Sacri Monti";"Specializzata";"Ente di gestione dei Sacri Monti";"Enti territoriali"
"IT-AL0231";"Biblioteca civica";"Pubblica";"Comune di Ricaldone";"Comune"
"IT-AL0232";"Biblioteca del Club Alpino italiano - CAI Sezione Davide e Luigi Guerci";"Specializzata";"Club alpino italiano - CAI. Sezione di Valenza";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AL0233";"BIBLIOTECA CIVICA GIUSEPPE BORSALINO";"Pubblica";"Comune di Pecetto di Valenza";"Comune"
"IT-AL0234";"Biblioteca comunale di Casalnoceto";"Pubblica";"Comune di Casalnoceto";"Comune"
"IT-AL0235";"Biblioteca civica";"Pubblica";"Comune di Ottiglio";"Comune"
"IT-AL0237";"Biblioteca civica";"Pubblica";"Comune di Voltaggio";"Comune"
"IT-AL0238";"Biblioteca ""Norberto Bobbio"" del Dipartimento di giurisprudenza e scienze politiche, economiche e sociali dell'Università degli studi del Piemonte Orientale A. Avogadro - DIGSPES";"Istituto di insegnamento superiore";"Università degli studi del Piemonte Orientale Amedeo Avogadro";"Universita' statali"
"IT-AL0239";"BIBLIOTECA CIVICA MAESTRO LUIGI ROSO";"Pubblica";"Comune di Ponti";"Comune"
"IT-AL0302";"Biblioteca della CISL AL-AT Michele Crosio";"Di conservazione";"CISL AL-AT";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0303";"Biblioteca comunale coniolo";"Pubblica";"Comune di Coniolo";"Comune"
"IT-AL0308";"Biblioteca del nuovo circolo ILVA";"Pubblica";"Nuovo circolo ILVA S.C.R.L.";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AL0309";"Biblioteca dell'Istituto di istruzione superiore Cesare Balbo";"Scolastica";"Ministero dell'istruzione, dell'Università e della ricerca. Istituto di iistruzione superiore Cesare Balbo";"Presidenza del consiglio dei ministri e ministeri"
"IT-AL0310";"Biblioteca Biomedica - Fondo storico G. Maconi";"Specializzata";"Azienda ospedaliera Santi Antonio e Biagio e Cesare Arrigo";"Aziende ed enti del servizio sanitario nazionale"
"IT-AL0311";"Biblioteca Civica";"Pubblica";"Comune di Grognardo";"Comune"
"IT-AL0312";"Biblioteca Civica";"Pubblica";"Comune di Cartosio";"Comune"
"IT-AL0313";"Biblioteca comunale";"Pubblica";"Comune di Mornese";"Comune"
"IT-AL0314";"Biblioteca dell'Ente di gestione delle Aree Protette dell'Appennino Piemontese";"Specializzata";"Ente di gestione delle Aree Protette dell'Appennino Piemontese";"Regione"
"IT-AL0315";"Biblioteca Comunale ""Elvezia Guerinoni""";"Pubblica";"";"Comune"
"IT-AL0316";"Biblioteca comunale di Gremiasco";"Pubblica";"Comune di Gremiasco";"Comune"
"IT-AL0317";"Biblioteca comunale ""Mario Fiori""";"Pubblica";"Comune di Volpedo";"Comune"
"IT-AL0318";"Biblioteca del Museo Etnografico ""Gambarina""";"Specializzata";"Comune di Alessandria. Museo Etnografico ""Gambarina""";"Comune"
"IT-AN0001";"Biblioteca comunale Luciano Benincasa";"Pubblica";"Comune di Ancona";"Comune"
"IT-AN0003";"Biblioteca dell'Istituto regionale per la storia del movimento di liberazione nelle Marche";"Di conservazione";"Istituto regionale per la storia del movimento di liberazione nelle Marche";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0004";"Biblioteca dell'Accademia marchigiana di scienze, lettere, arti";"Specializzata";"Accademia marchigiana di scienze, lettere, arti";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0005";"Biblioteca dell'Archivio di Stato di Ancona";"Specializzata";"Ministero della Cultura. Archivio di Stato di Ancona";"Direzione Generale Archivi"
"IT-AN0009";"Biblioteca diocesana Ancona";"Di conservazione";"Diocesi di Ancona-Osimo";"Enti ecclesiastici"
"IT-AN0012";"Biblioteca della Soprintendenza Archeologia, Belle Arti e Paesaggio per le province Ancona Pesaro Urbino";"Specializzata";"Ministero della Cultura. Soprintendenza Archeologia Belle Arti e Paesaggio per le province di Ancona Pesaro e Urbino";"Direzione generale archeologia, belle arti e paesaggio"
"IT-AN0015";"Biblioteca della Deputazione di storia patria per le Marche Amedeo Crivellucci";"Specializzata";"Deputazione di storia patria per le Marche";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0016";"Biblioteca Augusto Tamburini";"Specializzata";"USL 12 Ancona";"Aziende ed enti del servizio sanitario nazionale"
"IT-AN0017";"Bibliolandia";"Pubblica";"Comune di Ancona";"Comune"
"IT-AN0018";"Biblioteca dell'Istituto marchigiano Jacques Maritain";"Specializzata";"Istituto marchigiano Jacques Maritain";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0020";"Biblioteca comunale ""Angelo Rocca""";"Pubblica";"Comune di Arcevia";"Comune"
"IT-AN0024";"Sala letture Baden Powell";"Pubblica";"Comune di Camerano";"Comune"
